id,Fault Name,Slip Rate (mm/yr),Dip Angle (deg),Upper Depth (km),Lower Depth (km),"geometry (lon,lat)"
12,"Puysegur, 30km, 50% coupling; col: 3, row: 2",27.62247085571289,51.17935562133789,34.117584228515625,45.80426788330078,167.79811096191406,-44.715885162353516,34.117584228515625,167.6592254638672,-44.807350158691406,34.117584228515625
13,"Puysegur, 30km, 50% coupling; col: 4, row: 0",27.76021385192871,41.5217399597168,16.856609344482422,26.800172805786133,167.42066955566406,-44.727088928222656,16.856609344482422,167.28953552246094,-44.82414627075195,16.856609344482422
14,"Puysegur, 30km, 50% coupling; col: 4, row: 1",27.635358810424805,45.64335632324219,25.11175537109375,35.83678436279297,167.56265258789062,-44.78022384643555,25.11175537109375,167.4293975830078,-44.87592315673828,25.11175537109375
15,"Puysegur, 30km, 50% coupling; col: 4, row: 2",27.50809669494629,57.62869644165039,33.85328674316406,46.5222282409668,167.7012939453125,-44.835044860839844,33.85328674316406,167.56875610351562,-44.93134689331055,33.85328674316406
16,"Puysegur, 30km, 50% coupling; col: 5, row: 0",27.682598114013672,40.33445739746094,16.105161666870117,25.813886642456055,167.28907775878906,-44.83102035522461,16.105161666870117,167.1620635986328,-44.93094253540039,16.105161666870117
17,"Puysegur, 30km, 50% coupling; col: 5, row: 1",27.55689811706543,43.42349624633789,24.093408584594727,34.40419006347656,167.4290771484375,-44.8837776184082,24.093408584594727,167.30271911621094,-44.984222412109375,24.093408584594727
18,"Puysegur, 30km, 50% coupling; col: 5, row: 2",27.436368942260742,55.834495544433594,33.56462478637695,45.97590637207031,167.55935668945312,-44.93523406982422,33.56462478637695,167.43479919433594,-45.03689956665039,33.56462478637695
19,"Puysegur, 30km, 50% coupling; col: 6, row: 0",27.675657272338867,35.960201263427734,12.93030834197998,21.73865509033203,167.0829315185547,-44.905887603759766,12.93030834197998,166.95730590820312,-45.006771087646484,12.93030834197998
20,"Puysegur, 30km, 50% coupling; col: 6, row: 1",27.54734992980957,40.470245361328125,20.72978973388672,30.465585708618164,167.22567749023438,-44.95988845825195,20.72978973388672,167.09976196289062,-45.06068420410156,20.72978973388672
21,"Puysegur, 30km, 50% coupling; col: 6, row: 2",27.42926025390625,45.91856384277344,30.276153564453125,41.051429748535156,167.3475799560547,-45.00852966308594,30.276153564453125,167.23080444335938,-45.11479949951172,30.276153564453125
22,"Puysegur, 30km, 50% coupling; col: 6, row: 3",27.348413467407227,67.65874481201172,42.71240997314453,56.58645248413086,167.4298858642578,-45.04361343383789,42.71240997314453,167.31666564941406,-45.1518440246582,42.71240997314453
23,"Puysegur, 30km, 50% coupling; col: 6, row: 4",27.284883499145508,74.54623413085938,56.406227111816406,70.8639144897461,167.4986572265625,-45.07040023803711,56.406227111816406,167.386962890625,-45.1794548034668,56.406227111816406
24,"Puysegur, 30km, 50% coupling; col: 7, row: 0",27.593366622924805,32.31173324584961,12.45378589630127,20.471668243408203,166.95826721191406,-45.012420654296875,12.45378589630127,166.8372344970703,-45.116207122802734,12.45378589630127
25,"Puysegur, 30km, 50% coupling; col: 7, row: 1",27.46323585510254,37.03864669799805,19.58083724975586,28.61614227294922,167.1025390625,-45.066978454589844,19.58083724975586,166.98135375976562,-45.170772552490234,19.58083724975586
26,"Puysegur, 30km, 50% coupling; col: 7, row: 2",27.3445987701416,46.403724670410156,29.288358688354492,40.151607513427734,167.2164764404297,-45.115482330322266,29.288358688354492,167.11219787597656,-45.22816467285156,29.288358688354492
27,"Puysegur, 30km, 50% coupling; col: 7, row: 3",27.258779525756836,64.97476959228516,41.481964111328125,55.073787689208984,167.30926513671875,-45.15195083618164,41.481964111328125,167.2059783935547,-45.265132904052734,41.481964111328125
28,"Puysegur, 30km, 50% coupling; col: 7, row: 4",27.184560775756836,72.37396240234375,54.687870025634766,68.9836654663086,167.38882446289062,-45.18257141113281,54.687870025634766,167.28945922851562,-45.29752731323242,54.687870025634766
29,"Puysegur, 30km, 50% coupling; col: 8, row: 0",27.5114688873291,30.351423263549805,12.505071640014648,20.084606170654297,166.83755493164062,-45.11963653564453,12.505071640014648,166.7173309326172,-45.22400665283203,12.505071640014648
30,"Puysegur, 30km, 50% coupling; col: 8, row: 1",27.377952575683594,35.44356155395508,19.224002838134766,27.922513961791992,166.98199462890625,-45.17525100708008,19.224002838134766,166.86447143554688,-45.28123092651367,19.224002838134766
31,"Puysegur, 30km, 50% coupling; col: 8, row: 2",27.25585174560547,47.146183013916016,28.498620986938477,39.494991302490234,167.10292053222656,-45.2255859375,28.498620986938477,166.99856567382812,-45.33830642700195,28.498620986938477
32,"Puysegur, 30km, 50% coupling; col: 8, row: 3",27.164506912231445,59.26970291137695,40.44231033325195,53.33604431152344,167.2005157470703,-45.26367950439453,40.44231033325195,167.09954833984375,-45.37797927856445,40.44231033325195
33,"Puysegur, 30km, 50% coupling; col: 9, row: 0",27.467809677124023,25.2558650970459,11.307595252990723,17.707515716552734,166.67579650878906,-45.211124420166016,11.307595252990723,166.556396484375,-45.316043853759766,11.307595252990723
34,"Puysegur, 30km, 50% coupling; col: 9, row: 1",27.329357147216797,31.318626403808594,17.196935653686523,24.99388885498047,166.82435607910156,-45.26870346069336,17.196935653686523,166.70816040039062,-45.3754997253418,17.196935653686523
35,"Puysegur, 30km, 50% coupling; col: 9, row: 2",27.201234817504883,41.620079040527344,25.767398834228516,35.730220794677734,166.95101928710938,-45.32147979736328,25.767398834228516,166.84844970703125,-45.43507385253906,25.767398834228516
36,"Puysegur, 30km, 50% coupling; col: 9, row: 3",27.080162048339844,55.04154586791992,35.23710250854492,47.53062057495117,167.08424377441406,-45.37210464477539,35.23710250854492,166.98175048828125,-45.48579025268555,35.23710250854492
37,"Puysegur, 30km, 50% coupling; col: 10, row: 0",27.383874893188477,23.161155700683594,11.49482536315918,17.39460563659668,166.5561981201172,-45.31974411010742,11.49482536315918,166.43992614746094,-45.42650604248047,11.49482536315918
38,"Puysegur, 30km, 50% coupling; col: 10, row: 1",27.24375343322754,29.796323776245117,17.121063232421875,24.574838638305664,166.70806884765625,-45.37801742553711,17.121063232421875,166.59323120117188,-45.48563003540039,17.121063232421875
39,"Puysegur, 30km, 50% coupling; col: 10, row: 2",27.11074447631836,43.27016067504883,25.08612060546875,35.36771011352539,166.84201049804688,-45.43301010131836,25.08612060546875,166.7381591796875,-45.546104431152344,25.08612060546875
40,"Puysegur, 30km, 50% coupling; col: 10, row: 3",26.990644454956055,53.44282531738281,34.66730499267578,46.71624755859375,166.9734649658203,-45.48298645019531,34.66730499267578,166.8702392578125,-45.59642028808594,34.66730499267578
41,"Puysegur, 30km, 50% coupling; col: 11, row: 0",27.34988784790039,20.174720764160156,10.400181770324707,15.573443412780762,166.38548278808594,-45.408119201660156,10.400181770324707,166.26986694335938,-45.51530456542969,10.400181770324707
42,"Puysegur, 30km, 50% coupling; col: 11, row: 1",27.200773239135742,26.435314178466797,14.547385215759277,21.22519302368164,166.5474090576172,-45.47002029418945,14.547385215759277,166.43247985839844,-45.57767105102539,14.547385215759277
43,"Puysegur, 30km, 50% coupling; col: 11, row: 2",27.062503814697266,33.611328125,21.103017807006836,29.406362533569336,166.68704223632812,-45.52695083618164,21.103017807006836,166.58306884765625,-45.640037536621094,21.103017807006836
44,"Puysegur, 30km, 50% coupling; col: 11, row: 3",26.938060760498047,48.94143295288086,30.086132049560547,41.39670944213867,166.8202667236328,-45.578617095947266,30.086132049560547,166.7191162109375,-45.69301986694336,30.086132049560547
45,"Puysegur, 30km, 50% coupling; col: 11, row: 4",26.845239639282227,57.657615661621094,42.01033020019531,54.68332290649414,166.92120361328125,-45.61705017089844,42.01033020019531,166.82118225097656,-45.731990814208984,42.01033020019531
46,"Puysegur, 30km, 50% coupling; col: 12, row: 0",27.298606872558594,18.30327033996582,9.930825233459473,14.641524314880371,166.23631286621094,-45.50411605834961,9.930825233459473,166.11984252929688,-45.610923767089844,9.930825233459473
47,"Puysegur, 30km, 50% coupling; col: 12, row: 1",27.14797592163086,22.714794158935547,13.650623321533203,19.442787170410156,166.39971923828125,-45.56648254394531,13.650623321533203,166.28366088867188,-45.673606872558594,13.650623321533203
48,"Puysegur, 30km, 50% coupling; col: 12, row: 2",27.002988815307617,30.20681381225586,19.3177490234375,26.86458969116211,166.53533935546875,-45.6259765625,19.3177490234375,166.44029235839844,-45.742919921875,19.3177490234375
49,"Puysegur, 30km, 50% coupling; col: 12, row: 3",26.874799728393555,46.138336181640625,27.741117477416992,38.556339263916016,166.673095703125,-45.678810119628906,27.741117477416992,166.58090209960938,-45.79692459106445,27.741117477416992
50,"Puysegur, 30km, 50% coupling; col: 12, row: 4",26.769168853759766,52.8908805847168,38.839115142822266,50.80143356323242,166.78054809570312,-45.72180938720703,38.839115142822266,166.6986083984375,-45.84360885620117,38.839115142822266
51,"Puysegur, 30km, 50% coupling; col: 13, row: 0",27.234691619873047,16.998668670654297,9.310694694519043,13.695937156677246,166.101318359375,-45.60567092895508,9.310694694519043,165.984375,-45.71231460571289,9.310694694519043
52,"Puysegur, 30km, 50% coupling; col: 13, row: 1",27.0831298828125,19.774154663085938,12.868699073791504,17.943401336669922,166.26437377929688,-45.66823196411133,12.868699073791504,166.14862060546875,-45.77560806274414,12.868699073791504
53,"Puysegur, 30km, 50% coupling; col: 13, row: 2",26.93183135986328,29.73220443725586,17.76323890686035,25.202442169189453,166.40516662597656,-45.73036575317383,17.76323890686035,166.3113250732422,-45.847835540771484,17.76323890686035
54,"Puysegur, 30km, 50% coupling; col: 13, row: 3",26.797870635986328,40.65445327758789,25.719261169433594,35.491695404052734,166.53802490234375,-45.78535079956055,25.719261169433594,166.45838928222656,-45.90788650512695,25.719261169433594
55,"Puysegur, 30km, 50% coupling; col: 13, row: 4",26.685815811157227,47.58453369140625,36.392826080322266,47.46692657470703,166.64483642578125,-45.831207275390625,36.392826080322266,166.58412170410156,-45.95895767211914,36.392826080322266
56,"Puysegur, 30km, 50% coupling; col: 13, row: 5",26.581323623657227,55.69746780395508,47.81016540527344,60.20126724243164,166.73988342285156,-45.873939514160156,47.81016540527344,166.7064666748047,-46.00651931762695,47.81016540527344
57,"Puysegur, 30km, 50% coupling; col: 14, row: 0",27.18024444580078,16.193513870239258,8.93738079071045,13.120616912841797,165.95909118652344,-45.7037353515625,8.93738079071045,165.83975219726562,-45.80915832519531,8.93738079071045
58,"Puysegur, 30km, 50% coupling; col: 14, row: 1",27.02750587463379,17.722530364990234,12.43740463256836,17.00351905822754,166.12060546875,-45.76658248901367,12.43740463256836,166.00442504882812,-45.87381362915039,12.43740463256836
59,"Puysegur, 30km, 50% coupling; col: 14, row: 2",26.873228073120117,24.688629150390625,16.54071044921875,22.806013107299805,166.2687530517578,-45.829891204833984,16.54071044921875,166.16989135742188,-45.94537353515625,16.54071044921875
60,"Puysegur, 30km, 50% coupling; col: 14, row: 3",26.72638702392578,33.57645034790039,22.899206161499023,31.194942474365234,166.40621948242188,-45.890384674072266,22.899206161499023,166.3296356201172,-46.01389694213867,22.899206161499023
61,"Puysegur, 30km, 50% coupling; col: 14, row: 4",26.591739654541016,40.13473892211914,31.290128707885742,40.95893859863281,166.5323028564453,-45.94609451293945,31.290128707885742,166.47918701171875,-46.07549285888672,31.290128707885742
